@relation tables

@attribute maxHorizontalSimilarity numeric
@attribute maxVerticalSimilarity numeric
@attribute avgHorizontalSimilarity numeric
@attribute avgVerticalSimilarity numeric
@attribute diffMaxSimilarity numeric
@attribute diffAvgSimilarity numeric
@attribute geniune {true,     false}
@attribute orientation {horizontal,     vertical,     none}

@data
0,     0,     0,     0,     0,     0,     												false,     none
0.397727,     1,     0.313493,     0.552616,     -0.602273,     -0.239123,     			true,     horizontal
1,     0.204082,     0.496599,     0.20068,     0.795918,     0.295918,     			false,     none
1,     0.204082,     0.472789,     0.193878,     0.795918,     0.278912,     			false,     none
1,     0.204082,     0.47619,     0.193878,     0.795918,     0.282313,     			false,     none
1,     0.204082,     0.496599,     0.197279,     0.795918,     0.29932,     			false,     none
1,     0.204082,     0.47619,     0.193878,     0.795918,     0.282313,     			false,     none
1,     0.204082,     0.496599,     0.197279,     0.795918,     0.29932,     			false,     none
1,     0.204082,     0.472789,     0.193878,     0.795918,     0.278912,     			false,     none
0.755102,     0.204082,     0.5,     0.20068,     0.55102,     0.29932,     			false,     none
1,     0.204082,     0.472789,     0.193878,     0.795918,     0.278912,   		  		false,     none
0.755102,     0.204082,     0.5,     0.20068,     0.55102,     0.29932,    				false,     none
1,     0.204082,     0.496599,     0.197279,     0.795918,     0.29932,    		 		false,     none
0.755102,     0.204082,     0.5,     0.20068,     0.55102,     0.29932,     			false,     none
1,     0.204082,     0.506803,     0.193878,     0.795918,     0.312925,    			false,     none
0.755102,     0.204082,     0.5,     0.20068,     0.55102,     0.29932,     			false,     none
1,     0.204082,     0.469388,     0.193878,     0.795918,     0.27551,     			false,     none
1,     0.204082,     0.506803,     0.193878,     0.795918,     0.312925,     			false,     none
1,     0.204082,     0.459184,     0.193878,     0.795918,     0.265306,     			false,     none
1,     0.204082,     0.506803,     0.193878,     0.795918,     0.312925,     			false,     none
1,     0.204082,     0.459184,     0.193878,     0.795918,     0.265306,    			 false,     none
1,     0.204082,     0.469388,     0.193878,     0.795918,     0.27551,     			false,     none
1,     0.204082,     0.47619,     0.193878,     0.795918,     0.282313,     			false,     none
1,     0.204082,     0.469388,     0.193878,     0.795918,     0.27551,     			false,     none
1,     0.204082,     0.469388,     0.193878,     0.795918,     0.27551,     			 false,     none
1,     0.204082,     0.47619,     0.193878,     0.795918,     0.282313,     			false,     none
1,     0.204082,     0.459184,     0.193878,     0.795918,     0.265306,     			false,     none
1,     0.204082,     0.472789,     0.193878,     0.795918,     0.278912,     			false,     none
1,     0.204082,     0.506803,     0.193878,     0.795918,     0.312925,     			false,     none
1,     0.204082,     0.459184,     0.193878,     0.795918,     0.265306,     			false,     none
1,     0.204082,     0.469388,     0.193878,     0.795918,     0.27551,     			false,     none
1,     0.204082,     0.47619,     0.193878,     0.795918,     0.282313,     			false,     none
1,     0.204082,     0.459184,     0.193878,     0.795918,     0.265306,    			false,     none
1,     0.204082,     0.472789,     0.193878,     0.795918,     0.278912,     			false,     none
1,     0.204082,     0.459184,     0.193878,     0.795918,     0.265306,     			false,     none
0.372549,     0.78125,     0.357576,     0.54737,     -0.408701,     -0.189794,      true,     horizontal
0.347526,     0.916824,     0.186819,     0.350453,     -0.569298,     -0.163634,      true,     horizontal
0.375,     0.435593,     0.295139,     0.320174,     -0.060593,     -0.025035,    	true,     horizontal
0.435417,     0.32,     0.346053,     0.273118,     0.115417,     0.072935,     		true,     horizontal
0.810386,     0.259567,     0.506711,     0.248916,     0.550819,     0.257795,      false,     none
0.589599,     0.448203,     0.481064,     0.328434,     0.141396,     0.15263,     	false,     none
0.377778,     0.552,     0.344444,     0.406,     -0.174222,     -0.061556,     		true,     horizontal
0.422222,     0.472,     0.366667,     0.376,     -0.049778,     -0.009333,    			true,     horizontal
0.377778,     0.552,     0.344444,     0.416,     -0.174222,     -0.071556,    			true,     horizontal
0.377778,     0.456,     0.366667,     0.378,     -0.078222,     -0.011333,     		true,     horizontal
0.377778,     0.504,     0.366667,     0.372,     -0.126222,     -0.005333,    			true,     horizontal
0.396825,     1,     0.355307,     0.674989,     -0.603175,     -0.319682,     			false,     none
0.37037,     0.293538,     0.356147,     0.286545,     0.076833,     0.069601,    		true,     horizontal
0.571429,     0.222222,     0.35102,     0.199074,     0.349206,     0.151946,    		true,     horizontal
0.445076,     0.482556,     0.409142,     0.462699,     -0.03748,     -0.053557,      true,     horizontal
0.31545,     0.357143,     0.30452,     0.299921,     -0.041693,     0.004599,     		true,     horizontal
0.274916,     1,     0.261838,     0.574613,     -0.725084,     -0.312775,     			false,     none
0.397727,     1,     0.315725,     0.55196,     -0.602273,     -0.236234,     			true,     horizontal
0.3125,     0.271919,     0.278646,     0.230557,     0.040581,     0.048089,     		false,     none
1,     0.501723,     0.564379,     0.38687,     0.498277,     0.177508,     			true,     horizontal
0.321607,     0.91,     0.294867,     0.490089,     -0.588393,     -0.195222,     		false,     none
0.452586,     1,     0.432466,     0.674328,     -0.547414,     -0.241862,     			false,     none
0.457143,     1,     0.43233,     0.623741,     -0.542857,     -0.191412,     		   true,     horizontal
0.380952,     0.836386,     0.347803,     0.496046,     -0.455433,     -0.148244,      true,     horizontal
