@relation tables

@attribute maxHorizontalSimilarity numeric
@attribute maxVerticalSimilarity numeric
@attribute avgHorizontalSimilarity numeric
@attribute avgVerticalSimilarity numeric
@attribute diffMaxSimilarity numeric
@attribute diffAvgSimilarity numeric
@attribute geniune {true,     false}
@attribute orientation {horizontal,     vertical,     none}

@data
0,     0,     0,     0,     0,     0,     										  	false,     none
0.39122,     1,     0.338325,     0.730133,     -0.60878,     -0.391808,     	  	true,     horizontal
1,     0.514286,     0.838095,     0.426531,     0.485714,     0.411565,     	  	false,     none
1,     0.514286,     0.865306,     0.444898,     0.485714,     0.420408,     	  	false,     none
1,     0.514286,     0.838095,     0.444898,     0.485714,     0.393197,     	  	false,     none
1,     0.514286,     0.921769,     0.427551,     0.485714,     0.494218,     	  	false,     none
1,     0.514286,     0.838095,     0.444898,     0.485714,     0.393197,     	  	false,     none
1,     0.514286,     0.921769,     0.427551,     0.485714,     0.494218,     	  	false,     none
1,     0.514286,     0.865306,     0.444898,     0.485714,     0.420408,     	  	false,     none
1,     0.514286,     0.912245,     0.427551,     0.485714,     0.484694,     	  	false,     none
1,     0.514286,     0.865306,     0.444898,     0.485714,     0.420408,     	  	false,     none
1,     0.514286,     0.912245,     0.427551,     0.485714,     0.484694,     	  	false,     none
1,     0.514286,     0.921769,     0.427551,     0.485714,     0.494218,     	  	false,     none
1,     0.514286,     0.912245,     0.427551,     0.485714,     0.484694,     	  	false,     none
1,     0.514286,     0.931973,     0.444898,     0.485714,     0.487075,     	  	false,     none
1,     0.514286,     0.912245,     0.427551,     0.485714,     0.484694,     	  	false,     none
1,     0.514286,     0.871429,     0.444898,     0.485714,     0.426531,     	  	false,     none
1,     0.514286,     0.931973,     0.444898,     0.485714,     0.487075,     	  	false,     none
1,     0.514286,     0.840136,     0.444898,     0.485714,     0.395238,     	  	false,     none
1,     0.514286,     0.931973,     0.444898,     0.485714,     0.487075,     	  	false,     none
1,     0.514286,     0.840136,     0.444898,     0.485714,     0.395238,     	  	 false,     none
1,     0.514286,     0.871429,     0.444898,     0.485714,     0.426531,    	  	false,     none
1,     0.514286,     0.838095,     0.444898,     0.485714,     0.393197,    	  	false,     none
1,     0.514286,     0.871429,     0.444898,     0.485714,     0.426531,     	  	false,     none
1,     0.514286,     0.871429,     0.444898,     0.485714,     0.426531,    	  	 false,     none
1,     0.514286,     0.838095,     0.444898,     0.485714,     0.393197,    	  	false,     none
1,     0.514286,     0.840136,     0.444898,     0.485714,     0.395238,    	  	false,     none
1,     0.514286,     0.865306,     0.444898,     0.485714,     0.420408,    	  	false,     none
1,     0.514286,     0.931973,     0.444898,     0.485714,     0.487075,    	  	false,     none
1,     0.514286,     0.840136,     0.444898,     0.485714,     0.395238,     	  	false,     none
1,     0.514286,     0.871429,     0.444898,     0.485714,     0.426531,     	  	false,     none
1,     0.514286,     0.838095,     0.444898,     0.485714,     0.393197,     	  	false,     none
