@relation tables

@attribute maxHorizontalSimilarity numeric
@attribute maxVerticalSimilarity numeric
@attribute avgHorizontalSimilarity numeric
@attribute avgVerticalSimilarity numeric
@attribute diffMaxSimilarity numeric
@attribute diffAvgSimilarity numeric
@attribute geniune {true,     false}
@attribute orientation {horizontal,     vertical,     none}

@data
0,     0,     0,     0,     0,     0,     										  	false,     none
0.375,     1,     0.32043,     0.588104,     -0.625,     -0.267674,     		  	true,     horizontal
1,     0.239456,     0.561905,     0.221315,     0.760544,     0.34059,     	  	false,     none
1,     0.239456,     0.531293,     0.214512,     0.760544,     0.31678,     	  	false,     none
1,     0.239456,     0.541497,     0.219048,     0.760544,     0.322449,    	  	false,     none
1,     0.239456,     0.576417,     0.220068,     0.760544,     0.356349,     	  	false,     none
1,     0.239456,     0.541497,     0.219048,     0.760544,     0.322449,     	  	false,     none
1,     0.239456,     0.576417,     0.220068,     0.760544,     0.356349,     	  	false,     none
1,     0.239456,     0.531293,     0.214512,     0.760544,     0.31678,     	  	false,     none
0.755102,     0.239456,     0.579365,     0.220295,     0.515646,     0.35907,    	false,     none
1,     0.239456,     0.531293,     0.214512,     0.760544,     0.31678,     	  	false,     none
0.755102,     0.239456,     0.579365,     0.220295,     0.515646,     0.35907,    	false,     none
1,     0.239456,     0.576417,     0.220068,     0.760544,     0.356349,     	  	false,     none
0.755102,     0.239456,     0.579365,     0.220295,     0.515646,     0.35907,    	false,     none
1,     0.239456,     0.581633,     0.219048,     0.760544,     0.362585,     	  	false,     none
0.755102,     0.239456,     0.579365,     0.220295,     0.515646,     0.35907,    	false,     none
1,     0.239456,     0.535601,     0.219048,     0.760544,     0.316553,     	  	false,     none
1,     0.239456,     0.581633,     0.219048,     0.760544,     0.362585,    	  	false,     none
1,     0.239456,     0.522222,     0.214512,     0.760544,     0.30771,   		  	false,     none
1,     0.239456,     0.581633,     0.219048,     0.760544,     0.362585,    	  	false,     none
1,     0.239456,     0.522222,     0.214512,     0.760544,     0.30771,    		  	 false,     none
1,     0.239456,     0.535601,     0.219048,     0.760544,     0.316553,     	  	false,     none
1,     0.239456,     0.541497,     0.219048,     0.760544,     0.322449,     	  	false,     none
1,     0.239456,     0.535601,     0.219048,     0.760544,     0.316553,     	  	false,     none
1,     0.239456,     0.535601,     0.219048,     0.760544,     0.316553,     	  	 false,     none
1,     0.239456,     0.541497,     0.219048,     0.760544,     0.322449,     	  	false,     none
1,     0.239456,     0.522222,     0.214512,     0.760544,     0.30771,     	  	false,     none
1,     0.239456,     0.531293,     0.214512,     0.760544,     0.31678,     	  	false,     none
1,     0.239456,     0.581633,     0.219048,     0.760544,     0.362585,     	  	false,     none
1,     0.239456,     0.522222,     0.214512,     0.760544,     0.30771,     	  	false,     none
1,     0.239456,     0.535601,     0.219048,     0.760544,     0.316553,     	  	false,     none
1,     0.239456,     0.541497,     0.219048,     0.760544,     0.322449,     	  	false,     none
1,     0.239456,     0.522222,     0.214512,     0.760544,     0.30771,     	  	false,     none
1,     0.239456,     0.531293,     0.214512,     0.760544,     0.31678,     	  	false,     none
1,     0.239456,     0.522222,     0.214512,     0.760544,     0.30771,     	  	false,     none
0.449074,     0.78125,     0.408202,     0.625782,     -0.332176,     -0.21758,    true,     horizontal
0.35855,     0.916824,     0.21701,     0.398919,     -0.558274,     -0.181909,      true,     horizontal
0.564506,     0.666033,     0.427023,     0.515196,     -0.101526,     -0.088174, true,     horizontal
0.502778,     0.532444,     0.402932,     0.451037,     -0.029667,     -0.048105, 	true,     horizontal
0.962595,     0.378397,     0.624289,     0.353409,     0.584198,     0.27088,     false,     none
0.801099,     0.670844,     0.587657,     0.482446,     0.130255,     0.10521,    false,     none
0.440741,     0.749333,     0.413889,     0.524667,     -0.308593,     -0.110778, 	true,     horizontal
0.440741,     0.704533,     0.360185,     0.570822,     -0.263793,     -0.210637, 	true,     horizontal
0.437037,     0.736533,     0.359259,     0.538489,     -0.299496,     -0.17923,  	true,     horizontal
0.482716,     0.698533,     0.432716,     0.574822,     -0.215817,     -0.142106, 	true,     horizontal
0.446914,     0.691733,     0.415432,     0.488978,     -0.24482,     -0.073546,  	true,     horizontal
0.531746,     1,     0.399133,     0.7068,     -0.468254,     -0.307667,     	  	false,     none
0.450056,     0.472542,     0.429957,     0.458145,     -0.022486,     -0.028188, 	true,     horizontal
0.742857,     0.252778,     0.426667,     0.22716,     0.490079,     0.199506,    	true,     horizontal
0.669881,     0.718234,     0.59829,     0.632479,     -0.048353,     -0.034188,    true,     horizontal
0.462103,     0.455117,     0.405204,     0.447335,     0.006986,     -0.042131,  	true,     horizontal
0.382879,     1,     0.340562,     0.652427,     -0.617121,     -0.311865,     	  	false,     none
0.396825,     1,     0.325186,     0.576711,     -0.603175,     -0.251525,     	  	true,     horizontal
0.5,     0.500614,     0.34349,     0.352697,     -0.000614,     -0.009207,    	  	false,     none
1,     0.5,     0.591129,     0.413879,     0.5,     0.177249,     				  	true,     horizontal
0.535683,     0.9025,     0.451976,     0.600788,     -0.366817,     -0.148812,   	false,     none
0.224711,     0.755007,     0.213288,     0.470494,     -0.530296,     -0.257205, 	false,     none
0.212655,     0.647737,     0.172476,     0.37479,     -0.435082,     -0.202314,     true,     horizontal
0.441595,     0.858165,     0.403869,     0.577382,     -0.416569,     -0.173513,    true,     horizontal
0.283673,     0.876498,     0.261717,     0.639096,     -0.592826,     -0.37738,     true,     horizontal
0.307654,     0.827667,     0.233227,     0.610136,     -0.520012,     -0.376909,    true,     horizontal
0.456148,     0.865222,     0.361752,     0.567611,     -0.409074,     -0.205859, 		true,     horizontal
0.210547,     1,     0.19002,     0.924422,     -0.789453,     -0.734402,    	  		true,     horizontal
0.284984,     1,     0.276407,     0.788163,     -0.715016,     -0.511757,    	     true,     horizontal
0.239896,     0.879726,     0.219399,     0.605508,     -0.639829,     -0.386109,    true,     horizontal
0.378219,     0.757755,     0.271404,     0.548261,     -0.379536,     -0.276857,    false,     none
0.569551,     0.925926,     0.569478,     0.836455,     -0.356375,     -0.266977, 		 false,     none
0.158708,     0.947457,     0.139182,     0.443882,     -0.788749,     -0.3047,   		true,     horizontal
0.55,     0.605794,     0.311438,     0.36236,     -0.055794,     -0.050922,         false,     none
0.155556,     0.803086,     0.155062,     0.48033,     -0.647531,     -0.325269,  		false,     none
0.538109,     1,     0.485278,     0.835995,     -0.461891,     -0.350717,     	  		false,     none
1,     0.606338,     0.489153,     0.438357,     0.393662,     0.050796,     	     false,     none
0.653021,     0.722222,     0.536757,     0.570997,     -0.069201,     -0.03424,     true,     horizontal
0.469136,     0.740211,     0.411523,     0.697994,     -0.271075,     -0.286472, 		true,     horizontal
1,     0.627288,     0.500228,     0.540699,     0.372712,     -0.040472,     	  		true,     horizontal
0.554315,     1,     0.472984,     0.912536,     -0.445685,     -0.439551,    	  		false,     none
0.722222,     1,     0.232517,     0.666368,     -0.277778,     -0.433851,    	   	true,     vertical
0.864931,     0.509762,     0.643315,     0.456895,     0.355169,     0.18642,       true,     horizontal
0.398938,     0.755102,     0.360562,     0.578319,     -0.356164,     -0.217757,  	true,     horizontal
0.58448,     0.939318,     0.449427,     0.711659,     -0.354838,     -0.262232,     true,     horizontal
0.398938,     0.755102,     0.360562,     0.578319,     -0.356164,     -0.217757,  	true,     horizontal
0.58448,     0.939318,     0.449427,     0.711659,     -0.354838,     -0.262232,  		true,     horizontal
1,     0.4251,     0.388418,     0.28477,     0.5749,     0.103648,     		     true,     horizontal
0.481984,     0.639937,     0.425111,     0.559388,     -0.157953,     -0.134277, 		false,     none
0.91009,     0.44871,     0.548317,     0.362398,     0.46138,     0.185919,        true,     horizontal
0.386382,     0.813022,     0.335844,     0.619858,     -0.42664,     -0.284015,     true,     horizontal
0.401096,     0.722222,     0.373442,     0.692222,     -0.321126,     -0.31878,  		false,     none
0.235382,     0.916598,     0.14157,     0.409587,     -0.681216,     -0.268017,    true,     horizontal
0.459259,     0.624372,     0.348148,     0.503382,     -0.165113,     -0.155233, 		true,     horizontal
0.625,     0.440267,     0.405208,     0.384533,     0.184733,     0.020675,         false,     none
0.280552,     0.813936,     0.218681,     0.480092,     -0.533385,     -0.261411,    true,     horizontal
0.472864,     0.515646,     0.352395,     0.47432,     -0.042782,     -0.121925,     false,     none
0.653021,     0.722222,     0.536757,     0.570997,     -0.069201,     -0.03424,    true,     horizontal
0.76099,     0.706091,     0.527159,     0.627265,     0.054899,     -0.100106,     true,     horizontal
0.635938,     0.726077,     0.597638,     0.636048,     -0.090139,     -0.03841,     false,     none
0.495556,     0.945988,     0.403451,     0.840788,     -0.450432,     -0.437337,   true,     horizontal
0.44,     0.568961,     0.273819,     0.483826,     -0.128961,     -0.210006,     	true,     horizontal
0.477208,     0.656983,     0.440208,     0.588659,     -0.179775,     -0.148451,   true,     horizontal
0.428526,     0.82,     0.318413,     0.774032,     -0.391474,     -0.455618,      true,     horizontal
0.371296,     0.755102,     0.327877,     0.613288,     -0.383806,     -0.285411,  true,     horizontal
0.589653,     0.939318,     0.426646,     0.681109,     -0.349665,     -0.254463,  true,     horizontal
0.371296,     0.755102,     0.327877,     0.613288,     -0.383806,     -0.285411,  true,     horizontal
0.589653,     0.939318,     0.426646,     0.681109,     -0.349665,     -0.254463, 	true,     horizontal
1,     0.381179,     0.488088,     0.347959,     0.618821,     0.140128,     	   true,     vertical
0.631065,     0.172974,     0.315409,     0.099163,     0.458091,     0.216246,    true,     vertical
0.631065,     0.211187,     0.308054,     0.118269,     0.419878,     0.189785,   	true,     horizontal
0.645536,     0.815803,     0.466934,     0.746533,     -0.170267,     -0.279598,    true,     horizontal
0.548039,     0.678687,     0.462417,     0.540859,     -0.130648,     -0.078443, 	false,     none
0.323045,     0.548489,     0.222714,     0.274244,     -0.225444,     -0.05153,  	false,     none
0.323045,     0.548489,     0.222714,     0.274244,     -0.225444,     -0.05153,    false,     none
0.76099,     0.706091,     0.527159,     0.627265,     0.054899,     -0.100106,   	true,     horizontal
0.462157,     0.606083,     0.385742,     0.526872,     -0.143926,     -0.14113,   true,     horizontal
0.45928,     0.581713,     0.421188,     0.515432,     -0.122433,     -0.094244,     true,     horizontal
0.522389,     0.694326,     0.45082,     0.683343,     -0.171937,     -0.232523,  	true,     horizontal
0.516626,     0.633333,     0.447174,     0.519129,     -0.116707,     -0.071955,  false,     none
0.471111,     0.551726,     0.433295,     0.415099,     -0.080615,     0.018195,     false,     none
0.76963,     0.863417,     0.666321,     0.732723,     -0.093788,     -0.066402,   true,     horizontal
0.637179,     0.876248,     0.570286,     0.771506,     -0.239068,     -0.20122,    false,     none
0.51367,     0.68,     0.401972,     0.620572,     -0.16633,     -0.2186,     	  		false,     none
0.402004,     1,     0.368361,     0.663856,     -0.597996,     -0.295496,    	     true,     horizontal
0.377192,     0.940542,     0.321008,     0.659226,     -0.56335,     -0.338218,     false,     none
0.5219,     0.922255,     0.510562,     0.78784,     -0.400355,     -0.277278,      false,     none
0.601578,     0.935219,     0.532732,     0.792071,     -0.333641,     -0.259339,    false,     none
0.5219,     0.938425,     0.514088,     0.793219,     -0.416525,     -0.279131,     true,     horizontal
0.474116,     0.870661,     0.404484,     0.768661,     -0.396544,     -0.364177,    true,     horizontal
0.669963,     0.910352,     0.629337,     0.767707,     -0.240389,     -0.13837,  		false,     none
1,     0.973,     0.683693,     0.647352,     0.027,     0.036342,     			     false,     none
0.444444,     0.775494,     0.376296,     0.766019,     -0.331049,     -0.389722,    true,     horizontal
0.717944,     0.919695,     0.553721,     0.737742,     -0.201751,     -0.184021,  true,     horizontal
0.6,     0.861796,     0.478598,     0.772897,     -0.261796,     -0.294299,      false,     none
0.87451,     0.633059,     0.571743,     0.607485,     0.24145,     -0.035743,     false,     none
0.742857,     0.252778,     0.474286,     0.22716,     0.490079,     0.247125,    	false,     none
0.111111,     0.537778,     0.105159,     0.237698,     -0.426667,     -0.132539,  true,     horizontal
0.410787,     0.46871,     0.311418,     0.398578,     -0.057923,     -0.08716,    true,     horizontal
0.453674,     0.449223,     0.397658,     0.405951,     0.004451,     -0.008293,  		false,     none
0.444682,     0.68,     0.400783,     0.608753,     -0.235318,     -0.20797,         true,     horizontal
0.395161,     0.841821,     0.351485,     0.607351,     -0.44666,     -0.255866,  	false,     none
1,     0,     0.673691,     0,     1,     0,     				                   false,     none
0.213304,     0.501021,     0.163563,     0.457456,     -0.287717,     -0.293893, 	false,     none
0.574074,     0.496957,     0.519943,     0.484479,     0.077117,     0.035464,   	false,     none
0.5,     0.2,     0.25,     0.2,     0.3,     0.05,    							    true,     horizontal
0.352321,     0.966676,     0.256696,     0.525579,     -0.614355,     -0.268884, 	false,     none
0.157407,     0.5625,     0.128836,     0.297896,     -0.405093,     -0.16906,       true,     horizontal
0.567214,     0.836649,     0.467894,     0.629059,     -0.269435,     -0.161166,  	false,     none
0.742857,     0.252778,     0.474286,     0.22716,     0.490079,     0.247125,       true,     horizontal
0.528266,     0.647549,     0.359722,     0.519588,     -0.119283,     -0.159865, 		true,     horizontal
0.504167,     0.440476,     0.340498,     0.350391,     0.06369,     -0.009893,      true,     horizontal
0.551675,     0.759301,     0.501873,     0.646768,     -0.207625,     -0.144896, 	false,     none
0.330658,     0.739556,     0.274723,     0.589763,     -0.408897,     -0.31504,  	false,     none
0.574074,     0.496957,     0.519943,     0.484479,     0.077117,     0.035464,      true,     horizontal
0.538095,     0.828784,     0.415329,     0.631821,     -0.290689,     -0.216491,  true,     horizontal
0.711063,     0.477839,     0.546396,     0.475239,     0.233224,     0.071157,   	true,     horizontal
0.55,     0.518365,     0.32914,     0.351177,     0.031635,     -0.022037,       false,     none
0.517991,     0.50252,     0.483004,     0.472555,     0.015471,     0.010449,    	false,     none
0.726711,     0.444863,     0.611937,     0.38652,     0.281849,     0.225417,    	false,     none
0.628929,     0.530869,     0.454249,     0.349381,     0.098059,     0.104868,      true,     horizontal
0.395161,     0.841821,     0.351485,     0.607351,     -0.44666,     -0.255866,     true,     horizontal
0.586061,     0.703244,     0.488168,     0.564973,     -0.117184,     -0.076804,    true,     horizontal
0.378157,     0.751391,     0.245564,     0.493421,     -0.373235,     -0.247856,  true,     horizontal
0.816589,     0.556355,     0.65756,     0.54357,     0.260234,     0.11399,      	true,     vertical
0.574074,     0.496957,     0.519943,     0.484479,     0.077117,     0.035464,      true,     horizontal
0.354964,     0.994872,     0.279337,     0.60619,     -0.639908,     -0.326853,   true,     horizontal
0.532928,     0.972317,     0.450558,     0.746126,     -0.439389,     -0.295568,    true,     horizontal
0.705058,     0.789217,     0.521537,     0.666626,     -0.084159,     -0.145089,  true,     horizontal
0.784512,     0.409957,     0.62643,     0.405762,     0.374555,     0.220669,       false,     none
0.555556,     0.711587,     0.37827,     0.544041,     -0.156032,     -0.165771,  	false,     none
0.555556,     1,     0.395659,     0.699606,     -0.444444,     -0.303947,     	    true,     horizontal

