@relation tables

@attribute maxHorizontalSimilarity numeric
@attribute maxVerticalSimilarity numeric
@attribute avgHorizontalSimilarity numeric
@attribute avgVerticalSimilarity numeric
@attribute diffMaxSimilarity numeric
@attribute diffAvgSimilarity numeric
@attribute geniune {true,     false}
@attribute orientation {horizontal,     vertical,     none}

@data
0,     0,     0,     0,     0,     0,     												false,     none
0.375,     1,     0.315058,     0.769419,     -0.625,     -0.454361,     				true,     horizontal
1,     0.446064,     0.815355,     0.38484,     0.553936,     0.430515,     			false,     none
1,     0.446064,     0.842566,     0.399417,     0.553936,     0.443149,     			false,     none
1,     0.446064,     0.815355,     0.399417,     0.553936,     0.415938,     			false,     none
1,     0.446064,     0.902818,     0.387755,     0.553936,     0.515063,     			false,     none
1,     0.446064,     0.815355,     0.399417,     0.553936,     0.415938,     			false,     none
1,     0.446064,     0.902818,     0.387755,     0.553936,     0.515063,     			false,     none
1,     0.446064,     0.842566,     0.399417,     0.553936,     0.443149,     			false,     none
1,     0.446064,     0.900875,     0.387755,     0.553936,     0.51312,     			false,     none
1,     0.446064,     0.842566,     0.399417,     0.553936,     0.443149,     			false,     none
1,     0.446064,     0.900875,     0.387755,     0.553936,     0.51312,     			false,     none
1,     0.446064,     0.902818,     0.387755,     0.553936,     0.515063,     			false,     none
1,     0.446064,     0.900875,     0.387755,     0.553936,     0.51312,     			false,     none
1,     0.446064,     0.931973,     0.399417,     0.553936,     0.532556,     			false,     none
1,     0.446064,     0.900875,     0.387755,     0.553936,     0.51312,     			false,     none
1,     0.446064,     0.860058,     0.399417,     0.553936,     0.460641,     			false,     none
1,     0.446064,     0.931973,     0.399417,     0.553936,     0.532556,     			false,     none
1,     0.446064,     0.821186,     0.399417,     0.553936,     0.421769,     			false,     none
1,     0.446064,     0.931973,     0.399417,     0.553936,     0.532556,     			false,     none
1,     0.446064,     0.821186,     0.399417,     0.553936,     0.421769,     			 false,     none
1,     0.446064,     0.860058,     0.399417,     0.553936,     0.460641,     			false,     none
1,     0.446064,     0.815355,     0.399417,     0.553936,     0.415938,     			false,     none
1,     0.446064,     0.860058,     0.399417,     0.553936,     0.460641,     			false,     none
1,     0.446064,     0.860058,     0.399417,     0.553936,     0.460641,     			 false,     none
1,     0.446064,     0.815355,     0.399417,     0.553936,     0.415938,     			false,     none
1,     0.446064,     0.821186,     0.399417,     0.553936,     0.421769,     			false,     none
1,     0.446064,     0.842566,     0.399417,     0.553936,     0.443149,     			false,     none
1,     0.446064,     0.931973,     0.399417,     0.553936,     0.532556,     			false,     none
1,     0.446064,     0.821186,     0.399417,     0.553936,     0.421769,     			false,     none
1,     0.446064,     0.860058,     0.399417,     0.553936,     0.460641,     			false,     none
1,     0.446064,     0.815355,     0.399417,     0.553936,     0.415938,     			false,     none
1,     0.446064,     0.821186,     0.399417,     0.553936,     0.421769,     			false,     none
1,     0.446064,     0.842566,     0.399417,     0.553936,     0.443149,     			false,     none
1,     0.446064,     0.821186,     0.399417,     0.553936,     0.421769,     			false,     none
0.388889,     0.78125,     0.349206,     0.578177,     -0.392361,     -0.228971,     true,     horizontal
0.586137,     0.916824,     0.511977,     0.74911,     -0.330687,     -0.237133,       true,     horizontal
0.943996,     0.933413,     0.93181,     0.916348,     0.010583,     0.015462,     	true,     horizontal
0.625,     0.82,     0.615741,     0.800741,     -0.195,     -0.185,     				true,     horizontal
0.625,     0.183376,     0.382354,     0.163603,     0.441624,     0.218751,     	 false,     none
0.53125,     0.336364,     0.445396,     0.270679,     0.194886,     0.174717,     	false,     none
0.333333,     0.658182,     0.333333,     0.554805,     -0.324848,     -0.221472,   	true,     horizontal
0.333333,     0.658182,     0.333333,     0.526234,     -0.324848,     -0.1929,     	true,     horizontal
0.333333,     0.650909,     0.333333,     0.551169,     -0.317576,     -0.217836,   	true,     horizontal
0.333333,     0.68,     0.333333,     0.531429,     -0.346667,     -0.198095,     		true,     horizontal
0.333333,     0.650909,     0.333333,     0.534026,     -0.317576,     -0.200693,   	true,     horizontal
0.333333,     1,     0.333333,     0.611231,     -0.666667,     -0.277898,     			false,     none
0.388889,     0.291498,     0.354167,     0.268058,     0.097391,     0.086109,     	true,     horizontal
1,     0.579365,     0.785423,     0.478836,     0.420635,     0.306587,     			true,     horizontal
