@relation tables

@attribute maxHorizontalSimilarity numeric
@attribute maxVerticalSimilarity numeric
@attribute avgHorizontalSimilarity numeric
@attribute avgVerticalSimilarity numeric
@attribute diffMaxSimilarity numeric
@attribute diffAvgSimilarity numeric
@attribute geniune {true,     false}
@attribute orientation {horizontal,     vertical,     none}

@data
0,     0,     0,     0,     0,     0,     										   	false,     none
0.375,     1,     0.278089,     0.477702,     -0.625,     -0.199613,     		   	true,     horizontal
1,     0.195335,     0.414966,     0.189261,     0.804665,     0.225705,    	   	false,     none
1,     0.193878,     0.39966,     0.182459,     0.806122,     0.217201,     	   	false,     none
1,     0.193878,     0.394558,     0.182459,     0.806122,     0.212099,    	   	false,     none
1,     0.193878,     0.42517,     0.187318,     0.806122,     0.237852,     	   	false,     none
1,     0.193878,     0.394558,     0.182459,     0.806122,     0.212099,     	   	false,     none
1,     0.193878,     0.42517,     0.187318,     0.806122,     0.237852,     	   	false,     none
1,     0.193878,     0.39966,     0.182459,     0.806122,     0.217201,     	   	false,     none
0.755102,     0.193878,     0.423469,     0.189018,     0.561224,     0.234451,    	false,     none
1,     0.193878,     0.39966,     0.182459,     0.806122,     0.217201,     	   	false,     none
0.755102,     0.193878,     0.423469,     0.189018,     0.561224,     0.234451,    	false,     none
1,     0.193878,     0.42517,     0.187318,     0.806122,     0.237852,     	   	false,     none
0.755102,     0.193878,     0.423469,     0.189018,     0.561224,     0.234451,    	false,     none
1,     0.193878,     0.430272,     0.182459,     0.806122,     0.247813,     	   	false,     none
0.755102,     0.193878,     0.423469,     0.189018,     0.561224,     0.234451,    	false,     none
1,     0.193878,     0.397959,     0.182459,     0.806122,     0.2155,     		   	false,     none
1,     0.193878,     0.430272,     0.182459,     0.806122,     0.247813,     	   	false,     none
1,     0.193878,     0.386054,     0.182459,     0.806122,     0.203596,     	   	false,     none
1,     0.193878,     0.430272,     0.182459,     0.806122,     0.247813,     	   	false,     none
1,     0.193878,     0.386054,     0.182459,     0.806122,     0.203596,     	   	 false,     none
1,     0.193878,     0.397959,     0.182459,     0.806122,     0.2155,     		   	false,     none
1,     0.193878,     0.394558,     0.182459,     0.806122,     0.212099,     	   	false,     none
1,     0.193878,     0.397959,     0.182459,     0.806122,     0.2155,     		   	false,     none
1,     0.193878,     0.397959,     0.182459,     0.806122,     0.2155,     		   	 false,     none
1,     0.193878,     0.394558,     0.182459,     0.806122,     0.212099,     	   	false,     none
1,     0.193878,     0.386054,     0.182459,     0.806122,     0.203596,     	   	false,     none
1,     0.193878,     0.39966,     0.182459,     0.806122,     0.217201,     	   	false,     none
1,     0.193878,     0.430272,     0.182459,     0.806122,     0.247813,    	   	false,     none
1,     0.193878,     0.386054,     0.182459,     0.806122,     0.203596,    	   	false,     none
1,     0.193878,     0.397959,     0.182459,     0.806122,     0.2155,    		   	false,     none
1,     0.193878,     0.394558,     0.182459,     0.806122,     0.212099,    	   	false,     none
1,     0.193878,     0.386054,     0.182459,     0.806122,     0.203596,    	   	false,     none
1,     0.193878,     0.39966,     0.182459,     0.806122,     0.217201,     	   	false,     none
1,     0.193878,     0.386054,     0.182459,     0.806122,     0.203596,     	   	false,     none
0.333333,     0.78125,     0.333333,     0.534092,     -0.447917,     -0.200759,    true,     horizontal
0.322712,     0.916824,     0.159965,     0.299731,     -0.594112,     -0.139765,     true,     horizontal
0.299158,     0.275149,     0.228058,     0.203713,     0.02401,     0.024346,     true,     horizontal
0.35,     0.228,     0.300309,     0.190963,     0.122,     0.109346,     		   	true,     horizontal
0.798567,     0.167056,     0.445355,     0.160354,     0.631511,     0.285001,     false,     none
0.5,     0.409322,     0.436678,     0.290244,     0.090678,     0.146434,     	   false,     none
0.333333,     0.451429,     0.333333,     0.332987,     -0.118095,     0.000346,   	true,     horizontal
0.333333,     0.394286,     0.333333,     0.304416,     -0.060952,     0.028918,   	true,     horizontal
0.333333,     0.451429,     0.333333,     0.339654,     -0.118095,     -0.00632,   	true,     horizontal
0.333333,     0.382857,     0.333333,     0.324762,     -0.049524,     0.008571,   	true,     horizontal
0.333333,     0.417143,     0.333333,     0.315238,     -0.08381,     0.018095,    	true,     horizontal
0.333333,     1,     0.333333,     0.60984,     -0.666667,     -0.276506,     	   	false,     none
0.367786,     0.224194,     0.33764,     0.195031,     0.143593,     0.142609,     	true,     horizontal
0.357143,     0.196429,     0.263265,     0.183532,     0.160714,     0.079734,    	true,     horizontal
0.350412,     0.444512,     0.32209,     0.369302,     -0.0941,     -0.047212,       true,     horizontal
0.263889,     0.260482,     0.255956,     0.212332,     0.003407,     0.043624,    	true,     horizontal
0.194444,     1,     0.18641,     0.526628,     -0.805556,     -0.340218,     	   	false,     none
0.375,     1,     0.279734,     0.4789,     -0.625,     -0.199166,     			   	true,     horizontal
0.285714,     0.209877,     0.265749,     0.173264,     0.075838,     0.092485,    	false,     none
1,     0.5,     0.560114,     0.368519,     0.5,     0.191595,     				   	true,     horizontal
0.217021,     0.91,     0.20415,     0.441633,     -0.692979,     -0.237483,       	false,     none
0.432377,     1,     0.418169,     0.630453,     -0.567623,     -0.212284,     	   	false,     none
0.440068,     1,     0.425005,     0.586529,     -0.559932,     -0.161524,     	      true,     horizontal
0.333333,     0.823129,     0.333333,     0.460859,     -0.489796,     -0.127526,     true,     horizontal
0.213714,     0.834711,     0.206912,     0.451887,     -0.620996,     -0.244975,     true,     horizontal
0.236005,     0.730943,     0.217045,     0.479397,     -0.494938,     -0.262353,     true,     horizontal
0.338614,     0.717143,     0.336274,     0.538571,     -0.378529,     -0.202297,  		true,     horizontal
0.195437,     1,     0.191416,     0.774869,     -0.804563,     -0.583453,     	   		true,     horizontal
0.275511,     1,     0.267355,     0.874436,     -0.724489,     -0.60708,    	      true,     horizontal
0.189029,     0.679496,     0.184145,     0.440348,     -0.490467,     -0.256203,     true,     horizontal
0.236993,     0.452083,     0.188379,     0.301201,     -0.21509,     -0.112822,      false,     none
0.395604,     0.801587,     0.395604,     0.595397,     -0.405983,     -0.199793,  		 false,     none
0.333333,     1,     0.333333,     0.744419,     -0.666667,     -0.411086,     	   		true,     horizontal
0.388393,     0.272744,     0.281513,     0.17659,     0.115649,     0.104922,        false,     none
0.25,     0.722222,     0.247222,     0.641667,     -0.472222,     -0.394444,      		false,     none
0.483204,     1,     0.439834,     0.749597,     -0.516796,     -0.309763,     	   		false,     none
1,     0.59261,     0.377665,     0.279816,     0.40739,     0.097849,     		      false,     none
0.351111,     0.772727,     0.339852,     0.473092,     -0.421616,     -0.13324,      true,     horizontal
0.333333,     0.378167,     0.333333,     0.347265,     -0.044833,     -0.013932,  		true,     horizontal
1,     0.481481,     0.336111,     0.392438,     0.518519,     -0.056327,     	   		true,     horizontal
0.375661,     1,     0.365648,     0.697143,     -0.624339,     -0.331495,     	   		false,     none
0.722222,     1,     0.237954,     0.43147,     -0.277778,     -0.193516,     	    	true,     vertical
0.78125,     0.155583,     0.4594,     0.136964,     0.625667,     0.322436,          true,     horizontal
0.282353,     0.755102,     0.268145,     0.45957,     -0.472749,     -0.191425,    	true,     horizontal
0.350427,     0.834053,     0.337607,     0.52736,     -0.483625,     -0.189753,      true,     horizontal
0.282353,     0.755102,     0.268145,     0.45957,     -0.472749,     -0.191425,    	true,     horizontal
0.350427,     0.834053,     0.337607,     0.52736,     -0.483625,     -0.189753,   		true,     horizontal
1,     0.213542,     0.321396,     0.155432,     0.786458,     0.165965,     	      true,     horizontal
0.26087,     0.327124,     0.255142,     0.242374,     -0.066254,     0.012768,    		false,     none
0.803673,     0.203191,     0.359058,     0.155982,     0.600482,     0.203076,      true,     horizontal
0.207865,     0.755102,     0.185509,     0.424247,     -0.547237,     -0.238738,     true,     horizontal
0.238484,     0.722222,     0.221224,     0.638889,     -0.483738,     -0.417664,  		false,     none
0.336806,     1,     0.320959,     0.67686,     -0.663194,     -0.355902,     	     true,     horizontal
0.333333,     0.27425,     0.333333,     0.170887,     0.059083,     0.162446,     		true,     horizontal
0.625,     0.394797,     0.39399,     0.327155,     0.230203,     0.066836,           false,     none
0.28381,     0.617952,     0.241635,     0.346658,     -0.334143,     -0.105023,      true,     horizontal
0.268546,     0.414966,     0.238944,     0.277906,     -0.14642,     -0.038963,      false,     none
0.351111,     0.772727,     0.339852,     0.473092,     -0.421616,     -0.13324,     true,     horizontal
0.505807,     0.575359,     0.415797,     0.427802,     -0.069552,     -0.012006,    true,     horizontal
0.247483,     0.632653,     0.235344,     0.459485,     -0.38517,     -0.224141,      false,     none
0.380117,     0.945988,     0.344383,     0.73556,     -0.565871,     -0.391177,     true,     horizontal
0.44,     0.268306,     0.21478,     0.18097,     0.171694,     0.033811,     	   	true,     horizontal
0.402842,     0.236831,     0.338788,     0.232438,     0.166011,     0.10635,       true,     horizontal
0.266667,     0.82,     0.257395,     0.581581,     -0.553333,     -0.324187,       true,     horizontal
0.269257,     0.755102,     0.262534,     0.47762,     -0.485845,     -0.215085,    true,     horizontal
0.390313,     0.834053,     0.351852,     0.545784,     -0.443739,     -0.193932,   true,     horizontal
0.269257,     0.755102,     0.262534,     0.47762,     -0.485845,     -0.215085,    true,     horizontal
0.390313,     0.834053,     0.351852,     0.545784,     -0.443739,     -0.193932,  	true,     horizontal
1,     0.2332,     0.427443,     0.206143,     0.7668,     0.2213,     			    true,     vertical
0.555556,     0.687813,     0.414948,     0.40767,     -0.132257,     0.007277,     true,     vertical
0.555556,     0.687813,     0.408363,     0.407476,     -0.132257,     0.000887,   	true,     horizontal
0.391129,     0.561423,     0.345485,     0.472264,     -0.170294,     -0.126779,     true,     horizontal
